This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/18/15 14:41:59

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,30,4153.50,4387.00,+5.25,,"($4,670.00)",($105.00),
/QM,,,,,,,,-0.60%,"($4,325.00)",$165.00,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,1,44.55,53.200,-.33,,"($4,325.00)",$165.00,

Cash & Sweep Vehicle,"$45,203.70"
OVERALL P/L YTD,"($7,188.60)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$24,669.53"
AVAILABLE DOLLARS,"$24,669.53"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.059789,1.06285,+.006,0.00%,$99.29,$44.26,($368.76)
AusDollar/Singapore Dollar Spot,+10000,1.059789,1.06285,+.006,,$99.29,$44.26,
GBP/USD,+10000,1.535403,1.53557,-.00212,+0.01%,$20.44,($21.23),($305.44)
GBPound/US Dollar Spot,+10000,1.535403,1.53557,-.00212,,$20.44,($21.23),
HKD/JPY,+10000,15.36771,15.34155,+.0611,0.00%,($1.87),$5.13,($131.22)
HKDollar/Japanese Yen Spot,+10000,15.36771,15.34155,+.0611,,($1.87),$5.13,
USD/JPY,+10000,119.25,119.0085,+.47,+0.05%,($78.25),$39.53,($220.31)
USDollar/Japanese Yen Spot,+10000,119.25,119.0085,+.47,,($78.25),$39.53,
USD/THB,0,.00,32.558,-.014,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.558,-.014,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,457.90"
AVAILABLE DOLLARS,"$8,932.16"
